ID,N,s,v,c,Pstar,Pindifferent,Pstar>Pindifferent,Cost>Pindiff,Benefit of collusion (Pindiff-Pstar),,Theta,Test Case,V>testcase?
1,2,0.10,0.90,0.25,0.3,0.875,0,0,0.575,0,87.13759477,0.4,0
2,2,0.40,0.90,0.25,0.45,0.8,0,0,0.35,0,78.69006753,0.85,0
3,2,0.10,0.90,0.15,0.2,0.875,0,0,0.675,0,87.13759477,0.3,0
4,2,0.40,0.90,0.15,0.35,0.8,0,0,0.45,0,78.69006753,0.75,0
5,2,0.10,0.90,0.05,0.1,0.875,0,0,0.775,0,87.13759477,0.2,0
6,2,0.40,0.90,0.05,0.25,0.8,0,0,0.55,0,78.69006753,0.65,0
7,4,0.10,0.90,0.25,0.275,0.8875,0,0,0.6125,0,87.13759477,0.325,0
8,4,0.40,0.90,0.25,0.35,0.85,0,0,0.5,0,78.69006753,0.55,0
9,4,0.10,0.90,0.15,0.175,0.8875,0,0,0.7125,0,87.13759477,0.225,0
10,4,0.40,0.90,0.15,0.25,0.85,0,0,0.6,0,78.69006753,0.45,0
11,4,0.10,0.90,0.05,0.075,0.8875,0,0,0.8125,0,87.13759477,0.125,0
12,4,0.40,0.90,0.05,0.15,0.85,0,0,0.7,0,78.69006753,0.35,0
13,2,0.10,0.80,0.25,0.3,0.775,0,0,0.475,0,87.13759477,0.4,0
14,2,0.40,0.80,0.25,0.45,0.7,0,0,0.25,0,78.69006753,0.85,1
15,2,0.10,0.80,0.15,0.2,0.775,0,0,0.575,0,87.13759477,0.3,0
16,2,0.40,0.80,0.15,0.35,0.7,0,0,0.35,0,78.69006753,0.75,0
17,2,0.10,0.80,0.05,0.1,0.775,0,0,0.675,0,87.13759477,0.2,0
18,2,0.40,0.80,0.05,0.25,0.7,0,0,0.45,0,78.69006753,0.65,0
19,4,0.10,0.80,0.25,0.275,0.7875,0,0,0.5125,0,87.13759477,0.325,0
20,4,0.40,0.80,0.25,0.35,0.75,0,0,0.4,0,78.69006753,0.55,0
21,4,0.10,0.80,0.15,0.175,0.7875,0,0,0.6125,0,87.13759477,0.225,0
22,4,0.40,0.80,0.15,0.25,0.75,0,0,0.5,0,78.69006753,0.45,0
23,4,0.10,0.80,0.05,0.075,0.7875,0,0,0.7125,0,87.13759477,0.125,0
24,4,0.40,0.80,0.05,0.15,0.75,0,0,0.6,0,78.69006753,0.35,0
25,2,0.10,1.00,0.25,0.3,0.975,0,0,0.675,0,87.13759477,0.4,0
26,2,0.40,1.00,0.25,0.45,0.9,0,0,0.45,0,78.69006753,0.85,0
27,2,0.10,1.00,0.15,0.2,0.975,0,0,0.775,0,87.13759477,0.3,0
28,2,0.40,1.00,0.15,0.35,0.9,0,0,0.55,0,78.69006753,0.75,0
29,2,0.10,1.00,0.05,0.1,0.975,0,0,0.875,0,87.13759477,0.2,0
30,2,0.40,1.00,0.05,0.25,0.9,0,0,0.65,0,78.69006753,0.65,0
31,4,0.10,1.00,0.25,0.275,0.9875,0,0,0.7125,0,87.13759477,0.325,0
32,4,0.40,1.00,0.25,0.35,0.95,0,0,0.6,0,78.69006753,0.55,0
33,4,0.10,1.00,0.15,0.175,0.9875,0,0,0.8125,0,87.13759477,0.225,0
34,4,0.40,1.00,0.15,0.25,0.95,0,0,0.7,0,78.69006753,0.45,0
35,4,0.10,1.00,0.05,0.075,0.9875,0,0,0.9125,0,87.13759477,0.125,0
36,4,0.40,1.00,0.05,0.15,0.95,0,0,0.8,0,78.69006753,0.35,0
37,2,0.10,1.00,0.05,0.1,0.975,0,0,0.875,0,87.13759477,0.2,0
38,2,0.25,1.00,0.05,0.175,0.9375,0,0,0.7625,0,82.87498365,0.425,0
39,2,0.40,1.00,0.05,0.25,0.9,0,0,0.65,0,78.69006753,0.65,0
40,2,0.60,1.00,0.05,0.35,0.85,0,0,0.5,0,73.30075577,0.95,0
41,4,0.10,1.00,0.05,0.075,0.9875,0,0,0.9125,0,87.13759477,0.125,0
42,4,0.25,1.00,0.05,0.1125,0.96875,0,0,0.85625,0,82.87498365,0.2375,0
43,4,0.40,1.00,0.05,0.15,0.95,0,0,0.8,0,78.69006753,0.35,0
44,4,0.60,1.00,0.05,0.2,0.925,0,0,0.725,0,73.30075577,0.5,0